mmsi,lon,lat,speed,traj_label,time2,calculated_speed2
241280000.0,120.53222833333334,10.9509,12.9,1030,2019-12-18 21:54,12.35
241280000.0,120.56214073529412,11.16417024509804,,1030,2019-12-18 22:54,13.13
241280000.0,120.58617629032258,11.381679731182796,,1030,2019-12-18 23:54,12.34
241280000.0,120.60654944444445,11.58879511111111,,1030,2019-12-19 00:54,12.79
241280000.0,120.58613066666666,11.805142611111112,,1030,2019-12-19 01:54,13.55
241280000.0,120.54497706467663,12.026918208955225,,1030,2019-12-19 02:54,13.89
241280000.0,120.47870371794872,12.248285144230769,,1030,2019-12-19 03:54,13.65
241280000.0,120.40237294871794,12.462986105769229,,1030,2019-12-19 04:54,13.65
241280000.0,120.32488833333333,12.676797343750001,,1030,2019-12-19 05:54,13.58
241280000.0,120.24565944444444,12.894586944444447,,1030,2019-12-19 06:54,13.45
241280000.0,120.158025,13.110901666666669,,1030,2019-12-19 07:54,13.58
241280000.0,120.07981598039215,13.332519019607842,,1030,2019-12-19 08:54,13.62
241280000.0,119.97615753623188,13.545849420289855,,1030,2019-12-19 09:54,14.67
241280000.0,119.88352833333333,13.759934583333333,,1030,2019-12-19 10:54,13.25
241280000.0,119.85849010548523,13.983907383966244,,1030,2019-12-19 11:54,14.08
241280000.0,119.81887291666666,14.214874166666666,,1030,2019-12-19 12:54,13.32
241280000.0,119.78306099999999,14.454248,,1030,2019-12-19 13:54,15.03
241280000.0,119.74131530303029,14.693225000000002,,1030,2019-12-19 14:54,14.06
241280000.0,119.70762833333333,14.931484333333332,,1030,2019-12-19 15:54,14.03
241280000.0,119.67173433333332,15.1732765,,1030,2019-12-19 16:54,14.41
241280000.0,119.6348593478261,15.420783695652174,,1030,2019-12-19 17:54,15.19
241280000.0,119.59631745614035,15.668202280701756,,1030,2019-12-19 18:54,15.46
241280000.0,119.55780999999999,15.912193,,1030,2019-12-19 19:54,14.96
241280000.0,119.58106166666668,16.157106499999998,,1030,2019-12-19 20:54,14.66
241280000.0,119.61741460784313,16.4022731372549,,1030,2019-12-19 21:54,14.49
241280000.0,119.63087229885056,16.64026591954023,,1030,2019-12-19 22:54,14.66
241280000.0,119.669659,16.875572333333334,,1030,2019-12-19 23:54,14.66
241280000.0,119.75468432234433,17.110284725274724,,1030,2019-12-20 00:54,15.01
241280000.0,119.84528981684981,17.344722087912086,,1030,2019-12-20 01:54,15.00
241280000.0,119.93539102941176,17.58380882352941,,1030,2019-12-20 02:54,15.26
241280000.0,120.01360350427352,17.824686495726496,,1030,2019-12-20 03:54,15.32
241280000.0,120.07164379731381,18.0738462026862,,1030,2019-12-20 04:54,15.32
241280000.0,120.1296840903541,18.32300590964591,,1030,2019-12-20 05:54,15.32
241280000.0,120.1877243833944,18.572165616605616,,1030,2019-12-20 06:54,15.32
241280000.0,120.2461571957672,18.82110068783069,,1030,2019-12-20 07:54,15.09
241280000.0,120.31597306878308,19.06352132275132,,1030,2019-12-20 08:54,15.08
241280000.0,120.38563161764706,19.293900416666666,,1030,2019-12-20 09:54,14.37
241280000.0,120.46073507042254,19.524585117370894,,1030,2019-12-20 10:54,14.51
241280000.0,120.52836563063063,19.743874324324324,,1030,2019-12-20 11:54,13.20
241280000.0,120.58455897435898,19.943816923076923,,1030,2019-12-20 12:54,12.87
241280000.0,120.64431462499999,20.140811125,,1030,2019-12-20 13:54,11.62
241280000.0,120.71680315789473,20.32134684210526,,1030,2019-12-20 14:54,11.28
241280000.0,120.7942691111111,20.493021888888887,,1030,2019-12-20 15:54,11.48
241280000.0,120.85530605555557,20.676068444444446,,1030,2019-12-20 16:54,11.78
241280000.0,120.91448155555557,20.863427111111108,,1030,2019-12-20 17:54,11.86
241280000.0,120.98217,21.053436149425288,,1030,2019-12-20 18:54,12.25
241280000.0,121.06754859649122,21.25490359649123,,1030,2019-12-20 19:54,13.18
241280000.0,121.1420498245614,21.4827500877193,,1030,2019-12-20 20:54,15.01
241280000.0,121.22814,21.706042727272724,,1030,2019-12-20 21:54,12.93
241280000.0,121.30149545454545,21.917796666666668,,1030,2019-12-20 22:54,12.99
241280000.0,121.38644566666669,22.13897233333333,,1030,2019-12-20 23:54,14.01
241280000.0,121.50594666666667,22.355201666666662,13.9,1030,2019-12-21 00:54,13.80
241280000.0,121.62142433333332,22.56428933333333,,1030,2019-12-21 01:54,14.40
241280000.0,121.7092549074074,22.788121944444445,,1030,2019-12-21 02:54,14.42
241280000.0,121.79184031666668,23.02080308333333,,1030,2019-12-21 03:54,15.09
241280000.0,121.87513131666667,23.260168083333333,,1030,2019-12-21 04:54,15.09
241280000.0,121.95609250000001,23.503064166666665,,1030,2019-12-21 05:54,15.43
241280000.0,122.04497876623377,23.74367547619047,,1030,2019-12-21 06:54,15.11
241280000.0,122.14166733333333,23.97773916666667,,1030,2019-12-21 07:54,14.74
241280000.0,122.22641399999999,24.212783666666667,,1030,2019-12-21 08:54,14.44
241280000.0,122.309993,24.442098,,1030,2019-12-21 09:54,15.11
241280000.0,122.40816233333334,24.669869000000002,,1030,2019-12-21 10:54,13.65
241280000.0,122.50536421383647,24.8906672327044,,1030,2019-12-21 11:54,14.26
241339000.0,121.18938833333333,11.619868333333333,10.7,1055,2019-12-19 07:14,10.66
241339000.0,121.12557196078433,11.78474411764706,,1055,2019-12-19 08:14,10.46
241339000.0,121.06355215053763,11.943352741935483,,1055,2019-12-19 09:14,10.38
241339000.0,120.99850875,12.10395125,,1055,2019-12-19 10:14,10.16
241339000.0,120.92749111111111,12.263715277777779,,1055,2019-12-19 11:14,11.00
241339000.0,120.84660511111112,12.426648888888886,,1055,2019-12-19 12:14,10.99
241339000.0,120.769763125,12.592094583333335,,1055,2019-12-19 13:14,10.93
241339000.0,120.68933366666667,12.751265083333333,,1055,2019-12-19 14:14,10.64
241339000.0,120.57379583333334,12.889726666666668,,1055,2019-12-19 15:14,11.36
241339000.0,120.44975057971014,13.032124565217392,,1055,2019-12-19 16:14,11.28
241339000.0,120.32167257575757,13.176167916666666,,1055,2019-12-19 17:14,11.59
241339000.0,120.18192206896552,13.31407528735632,,1055,2019-12-19 18:14,11.35
241339000.0,120.05411317204299,13.462688924731184,,1055,2019-12-19 19:14,11.86
241339000.0,119.92282148148149,13.616340000000001,,1055,2019-12-19 20:14,11.81
241339000.0,119.80931255555555,13.76913888888889,,1055,2019-12-19 21:14,11.56
241339000.0,119.69643687499999,13.916670208333333,,1055,2019-12-19 22:14,10.40
241339000.0,119.66330911111113,14.092844555555555,,1055,2019-12-19 23:14,11.42
