mmsi,lon,lat,speed,traj_label,time2,calculated_speed2
241519000.0,120.04045333333332,24.99446833333333,12.3,1191,2019/07/15 11:10,12.02
241519000.0,119.92592166666668,24.88605333333333,,1191,2019/07/15 11:55,12.18
241519000.0,119.80696833333332,24.782845,12.0,1191,2019/07/15 12:40,12.41
241519000.0,119.67707166666665,24.691672500000003,,1191,2019/07/15 13:25,12.08
241519000.0,119.54486666666666,24.60009166666667,12.0,1191,2019/07/15 14:10,12.45
241519000.0,119.39451583333334,24.538131666666665,,1191,2019/07/15 14:55,11.88
241519000.0,119.26885,24.443695,11.8,1191,2019/07/15 15:40,11.68
241519000.0,119.143885,24.35361083333333,,1191,2019/07/15 16:25,12.28
241519000.0,119.01916166666666,24.256805,12.3,1191,2019/07/15 17:10,12.26
241519000.0,118.9023875,24.158741666666664,,1191,2019/07/15 17:55,11.00
241519000.0,118.78032850000001,24.06347083333333,,1191,2019/07/15 18:40,12.60
241519000.0,118.67074,23.954939166666662,,1191,2019/07/15 19:25,12.08
241519000.0,118.60123,23.81952833333333,12.1,1191,2019/07/15 20:10,11.53
241519000.0,118.4958602631579,23.70518,,1191,2019/07/15 20:55,12.47
241519000.0,118.36858268292681,23.605393048780485,,1191,2019/07/15 21:40,12.05
241519000.0,118.23669113821137,23.5089093902439,,1191,2019/07/15 22:25,12.75
241519000.0,118.09678,23.421986666666665,12.8,1191,2019/07/15 23:10,13.06
241519000.0,117.93643833333333,23.348693030303036,,1191,2019/07/15 23:55,13.39
241519000.0,117.77707833333335,23.2676153030303,,1191,2019/07/16 00:40,13.40
241519000.0,117.62779499999999,23.16740487179487,,1191,2019/07/16 01:25,13.56
241519000.0,117.48652833333334,23.05407333333333,13.8,1191,2019/07/16 02:10,13.08
241519000.0,117.33750166666667,22.95382590909091,,1191,2019/07/16 02:55,13.81
241519000.0,117.18198227272727,22.856376969696967,,1191,2019/07/16 03:40,14.92
241519000.0,117.02266499999999,22.76429895833333,,1191,2019/07/16 04:25,13.97
241519000.0,116.844505,22.734835,13.6,1191,2019/07/16 05:10,13.56
241519000.0,116.66344500000001,22.711079444444444,,1191,2019/07/16 05:55,13.91
241519000.0,116.495735,22.64587833333333,13.5,1191,2019/07/16 06:40,13.37
241519000.0,116.33097999999998,22.581931666666666,,1191,2019/07/16 07:25,12.85
241519000.0,116.20816833333332,22.46981,12.1,1191,2019/07/16 08:10,11.68
241519000.0,116.080415,22.389025833333328,,1191,2019/07/16 08:55,11.17
241519000.0,115.98664,22.319325,6.8,1191,2019/07/16 09:40,5.75
241519000.0,115.916335,22.259899166666667,,1191,2019/07/16 10:25,11.33
241519000.0,115.79147166666668,22.19721833333333,7.9,1191,2019/07/16 11:10,7.25
241519000.0,115.70361583333333,22.191503333333333,,1191,2019/07/16 11:55,6.02
241519000.0,115.618155,22.186845,6.6,1191,2019/07/16 12:40,6.61
241519000.0,115.52153194444445,22.17753652777778,,1191,2019/07/16 13:25,7.63
241519000.0,115.41420833333332,22.17203666666667,8.1,1191,2019/07/16 14:10,9.01
241519000.0,115.26938416666667,22.17561333333333,,1191,2019/07/16 14:55,11.66
241519000.0,115.11123888888889,22.190868703703703,,1191,2019/07/16 15:40,11.28
241519000.0,114.99425083333333,22.250846666666664,,1191,2019/07/16 16:25,9.24
241519000.0,114.91409166666666,22.33554333333333,9.0,1191,2019/07/16 17:10,9.05
247314300.0,120.04768500000002,24.98921666666667,10.7,1269,2019/03/15 15:40,10.53
247314300.0,119.95436583333334,24.894795000000002,,1269,2019/03/15 16:25,9.75
247314300.0,119.85954,24.80747,9.7,1269,2019/03/15 17:10,9.48
247314300.0,119.76153027027027,24.72573716216216,,1269,2019/03/15 17:55,9.51
247314300.0,119.66529166666666,24.64899166666667,9.3,1269,2019/03/15 18:40,9.63
247314300.0,119.57352833333334,24.56401333333333,,1269,2019/03/15 19:25,9.88
247314300.0,119.48526966666668,24.472560833333333,,1269,2019/03/15 20:10,9.99
247314300.0,119.39039583333333,24.390656666666665,,1269,2019/03/15 20:55,9.06
247314300.0,119.29701889952153,24.30891252791068,,1269,2019/03/15 21:40,9.53
247314300.0,119.19615394736843,24.23322640350877,,1269,2019/03/15 22:25,9.54
247314300.0,119.09528899521531,24.157540279106854,,1269,2019/03/15 23:10,9.54
247314300.0,118.99442404306221,24.081854154704942,,1269,2019/03/15 23:55,9.54
247314300.0,118.89355909090911,24.00616803030303,,1269,2019/03/16 00:40,9.55
247314300.0,118.79348083333333,23.932935833333335,,1269,2019/03/16 01:25,9.26
247314300.0,118.69648666666669,23.86202,8.8,1269,2019/03/16 02:10,8.91
247314300.0,118.60093895833333,23.79177145833333,,1269,2019/03/16 02:55,8.21
247314300.0,118.49994333333332,23.72454333333333,9.3,1269,2019/03/16 03:40,9.13
247314300.0,118.39957333333334,23.649974999999998,,1269,2019/03/16 04:25,9.51
247314300.0,118.30094,23.57295333333333,9.5,1269,2019/03/16 05:10,9.57
247314300.0,118.19947916666666,23.4968175,,1269,2019/03/16 05:55,10.52
247314300.0,118.09503,23.42119833333333,9.8,1269,2019/03/16 06:40,9.85
247314300.0,117.99058,23.342179166666668,,1269,2019/03/16 07:25,10.13
247314300.0,117.86494166666668,23.255265,13.0,1269,2019/03/16 08:10,13.06
247314300.0,117.71738416666668,23.164326666666664,,1269,2019/03/16 08:55,13.18
247314300.0,117.59492833333331,23.082420000000003,10.5,1269,2019/03/16 09:40,10.52
247314300.0,117.47938583333332,23.003344999999996,,1269,2019/03/16 10:25,10.69
247314300.0,117.36499666666668,22.92812833333333,10.4,1269,2019/03/16 11:10,10.40
247314300.0,117.25102523809524,22.851699523809522,,1269,2019/03/16 11:55,9.61
247314300.0,117.13906,22.77565166666667,10.2,1269,2019/03/16 12:40,10.12
247314300.0,117.01014333333333,22.74088333333333,,1269,2019/03/16 13:25,10.07
247314300.0,116.87975333333333,22.70759333333333,9.8,1269,2019/03/16 14:10,9.87
247314300.0,116.75356666666669,22.6669075,,1269,2019/03/16 14:55,9.89
247314300.0,116.62552333333332,22.63113833333333,9.8,1269,2019/03/16 15:40,9.85
247314300.0,116.49782250000001,22.596249166666666,,1269,2019/03/16 16:25,9.76
247314300.0,116.37219166666668,22.558785,9.8,1269,2019/03/16 17:10,9.75
247314300.0,116.24716791666665,22.5191425,,1269,2019/03/16 17:55,10.51
247314300.0,116.11691503472223,22.481828854166668,,1269,2019/03/16 18:40,10.02
247314300.0,115.98735930555554,22.445192916666667,,1269,2019/03/16 19:25,10.02
247314300.0,115.85780357638887,22.40855697916667,,1269,2019/03/16 20:10,10.03
247314300.0,115.72713999999999,22.374448333333333,,1269,2019/03/16 20:55,10.53
247314300.0,115.59217166666669,22.33999,10.3,1269,2019/03/16 21:40,10.33
247314300.0,115.45949172619048,22.302240773809523,,1269,2019/03/16 22:25,10.53
247314300.0,115.32487666666668,22.26561333333333,10.3,1269,2019/03/16 23:10,10.83
247314300.0,115.18949666666666,22.230491666666666,,1269,2019/03/16 23:55,9.96
247314300.0,115.05609666666666,22.19658166666667,10.4,1269,2019/03/17 00:40,10.24
247314300.0,114.91842583333332,22.17090833333333,,1269,2019/03/17 01:25,10.11
247314300.0,114.78837166666666,22.14168,10.2,1269,2019/03/17 02:10,10.82
247314300.0,114.6502075,22.1265125,,1269,2019/03/17 02:55,9.51
