mmsi,lon,lat,speed,traj_label,time2,calculated_speed2
241519000.0,120.04045333333332,24.99446833333333,12.3,1191,2019/07/15 11:10,12.02
241519000.0,120.00727,24.954349999999998,,1191,2019/07/15 11:25,12.43
241519000.0,119.96603666666668,24.91987,12.0,1191,2019/07/15 11:40,11.80
241519000.0,119.92592166666668,24.88605333333333,,1191,2019/07/15 11:55,12.18
241519000.0,119.88739166666667,24.850041666666662,12.0,1191,2019/07/15 12:10,11.80
241519000.0,119.84805750000001,24.81460305555556,,1191,2019/07/15 12:25,12.66
241519000.0,119.80696833333332,24.782845,12.0,1191,2019/07/15 12:40,12.41
241519000.0,119.76343916666666,24.751291666666667,,1191,2019/07/15 12:55,11.62
241519000.0,119.72015833333332,24.72121333333333,12.0,1191,2019/07/15 13:10,11.62
241519000.0,119.67707166666665,24.691672500000003,,1191,2019/07/15 13:25,12.08
241519000.0,119.633495,24.65888833333333,12.1,1191,2019/07/15 13:40,12.80
241519000.0,119.58925583333333,24.626235833333336,,1191,2019/07/15 13:55,11.74
241519000.0,119.54486666666666,24.60009166666667,12.0,1191,2019/07/15 14:10,12.45
241519000.0,119.49525416666665,24.57578833333333,,1191,2019/07/15 14:25,12.08
241519000.0,119.44507166666666,24.55750833333333,12.1,1191,2019/07/15 14:40,12.06
241519000.0,119.39451583333334,24.538131666666665,,1191,2019/07/15 14:55,11.88
241519000.0,119.35065833333331,24.50925833333333,12.0,1191,2019/07/15 15:10,12.03
241519000.0,119.308915,24.47677,,1191,2019/07/15 15:25,11.95
241519000.0,119.26885,24.443695,11.8,1191,2019/07/15 15:40,11.68
241519000.0,119.22858666666667,24.412225,,1191,2019/07/15 15:55,11.54
241519000.0,119.18417,24.38618833333333,11.6,1191,2019/07/15 16:10,11.54
241519000.0,119.143885,24.35361083333333,,1191,2019/07/15 16:25,12.28
241519000.0,119.10561166666666,24.31899833333333,12.0,1191,2019/07/15 16:40,12.01
241519000.0,119.06624916666667,24.28311416666667,,1191,2019/07/15 16:55,12.62
241519000.0,119.01916166666666,24.256805,12.3,1191,2019/07/15 17:10,12.26
241519000.0,118.9794725,24.221343333333337,,1191,2019/07/15 17:25,12.16
241519000.0,118.94381075757576,24.18232121212121,,1191,2019/07/15 17:40,12.23
241519000.0,118.9023875,24.158741666666664,,1191,2019/07/15 17:55,11.00
241519000.0,118.86763833333332,24.12502833333333,11.4,1191,2019/07/15 18:10,12.15
241519000.0,118.8266740909091,24.092061515151514,,1191,2019/07/15 18:25,11.76
241519000.0,118.78032850000001,24.06347083333333,,1191,2019/07/15 18:40,12.60
241519000.0,118.7406238888889,24.03087407407407,,1191,2019/07/15 18:55,11.54
241519000.0,118.706495,23.991626666666665,11.9,1191,2019/07/15 19:10,11.66
241519000.0,118.67074,23.954939166666662,,1191,2019/07/15 19:25,12.08
241519000.0,118.63983818181818,23.91371166666666,,1191,2019/07/15 19:40,12.07
241519000.0,118.61881249999999,23.868435277777778,,1191,2019/07/15 19:55,11.80
241519000.0,118.60123,23.81952833333333,12.1,1191,2019/07/15 20:10,11.53
241519000.0,118.57867166666666,23.77616333333333,12.3,1191,2019/07/15 20:25,12.47
241519000.0,118.53726596491228,23.740671666666664,,1191,2019/07/15 20:40,12.47
241519000.0,118.4958602631579,23.70518,,1191,2019/07/15 20:55,12.47
241519000.0,118.45445456140351,23.669688333333333,,1191,2019/07/15 21:10,12.47
241519000.0,118.41253878048781,23.635311341463414,,1191,2019/07/15 21:25,12.05
241519000.0,118.36858268292681,23.605393048780485,,1191,2019/07/15 21:40,12.05
241519000.0,118.32462658536583,23.57547475609756,,1191,2019/07/15 21:55,12.05
241519000.0,118.28066308943087,23.543415487804875,,1191,2019/07/15 22:10,12.74
241519000.0,118.23669113821137,23.5089093902439,,1191,2019/07/15 22:25,12.75
241519000.0,118.19271918699185,23.474403292682926,,1191,2019/07/15 22:40,12.75
241519000.0,118.14697416666667,23.445544166666664,,1191,2019/07/15 22:55,13.68
241519000.0,118.09678,23.421986666666665,12.8,1191,2019/07/15 23:10,13.06
241519000.0,118.04790333333334,23.391245,13.1,1191,2019/07/15 23:25,13.32
241519000.0,117.99139666666666,23.371531666666662,13.2,1191,2019/07/15 23:40,13.29
241519000.0,117.93643833333333,23.348693030303036,,1191,2019/07/15 23:55,13.39
241519000.0,117.88331833333334,23.321667121212123,,1191,2019/07/16 00:10,13.39
241519000.0,117.83019833333334,23.294641212121213,,1191,2019/07/16 00:25,13.40
241519000.0,117.77707833333335,23.2676153030303,,1191,2019/07/16 00:40,13.40
241519000.0,117.7258126923077,23.235474615384614,,1191,2019/07/16 00:55,13.89
241519000.0,117.67735973684209,23.200540263157894,,1191,2019/07/16 01:10,13.52
241519000.0,117.62779499999999,23.16740487179487,,1191,2019/07/16 01:25,13.56
241519000.0,117.57727833333334,23.13588833333333,13.6,1191,2019/07/16 01:40,13.52
241519000.0,117.53382833333332,23.09626020833333,,1191,2019/07/16 01:55,13.52
241519000.0,117.48652833333334,23.05407333333333,13.8,1191,2019/07/16 02:10,13.08
241519000.0,117.43891666666666,23.019757407407408,,1191,2019/07/16 02:25,14.14
241519000.0,117.389655,22.98617166666667,13.6,1191,2019/07/16 02:40,13.95
241519000.0,117.33750166666667,22.95382590909091,,1191,2019/07/16 02:55,13.81
241519000.0,117.28293833333332,22.922255,13.8,1191,2019/07/16 03:10,12.72
