mmsi,lon,lat,speed,traj_label,time2,calculated_speed2
241487000.0,104.25599166666667,1.265418333333333,10.6,1174,2019-12-20 04:10,10.53
241487000.0,104.33450638888888,1.2900733333333334,,1174,2019-12-20 04:40,9.89
241487000.0,104.39972145833333,1.3456564583333332,,1174,2019-12-20 05:10,9.74
241487000.0,104.46745846153846,1.4026602564102564,,1174,2019-12-20 05:40,10.81
241487000.0,104.54038416666667,1.4566141666666668,,1174,2019-12-20 06:10,10.60
241487000.0,104.61786796296296,1.5120516666666666,,1174,2019-12-20 06:40,11.58
241487000.0,104.65239833333334,1.5925971428571428,,1174,2019-12-20 07:10,11.50
241487000.0,104.67579333333335,1.6825150000000004,,1174,2019-12-20 07:40,11.74
241487000.0,104.69955229166666,1.7721022916666667,,1174,2019-12-20 08:10,11.10
241487000.0,104.71926940476189,1.8687067857142856,,1174,2019-12-20 08:40,11.74
241487000.0,104.74054833333334,1.964141666666667,11.8,1174,2019-12-20 09:10,11.83
241487000.0,104.79109875,2.047817708333333,,1174,2019-12-20 09:40,12.05
241487000.0,104.83529544444444,2.135450111111111,,1174,2019-12-20 10:10,11.99
241487000.0,104.87971416666667,2.2255075,,1174,2019-12-20 10:40,12.84
241487000.0,104.9281681111111,2.311406444444444,,1174,2019-12-20 11:10,12.00
241487000.0,104.97853700000002,2.396357666666667,,1174,2019-12-20 11:40,11.11
241487000.0,105.02511916666667,2.4847216666666667,,1174,2019-12-20 12:10,11.29
241487000.0,105.06512404761905,2.5735407142857145,,1174,2019-12-20 12:40,12.30
241487000.0,105.10849904761905,2.6637809523809524,,1174,2019-12-20 13:10,11.95
241487000.0,105.15432833333334,2.753613333333333,12.0,1174,2019-12-20 13:40,12.00
241487000.0,105.19437633333332,2.8437213333333333,,1174,2019-12-20 14:10,10.41
241487000.0,105.24519166666668,2.93157,12.1,1174,2019-12-20 14:40,11.90
241487000.0,105.29508000000001,3.0187458333333335,,1174,2019-12-20 15:10,14.22
241487000.0,105.34397555555556,3.109916111111111,,1174,2019-12-20 15:40,13.66
241487000.0,105.39461566666668,3.1978155555555556,,1174,2019-12-20 16:10,12.30
241487000.0,105.44987429824562,3.2807380701754387,,1174,2019-12-20 16:40,11.70
241487000.0,105.50924944444445,3.362763888888889,,1174,2019-12-20 17:10,14.27
241487000.0,105.56265733333333,3.4513503333333335,,1174,2019-12-20 17:40,13.02
241487000.0,105.61911655555556,3.5361427777777776,,1174,2019-12-20 18:10,12.42
241487000.0,105.67791833333334,3.617018333333333,12.2,1174,2019-12-20 18:40,13.33
241487000.0,105.738025,3.700411666666666,12.4,1174,2019-12-20 19:10,12.85
241487000.0,105.79973333333334,3.783586666666667,12.2,1174,2019-12-20 19:40,12.47
241487000.0,105.852175,3.871606666666666,12.3,1174,2019-12-20 20:10,13.00
241487000.0,105.905715,3.960428333333333,12.3,1174,2019-12-20 20:40,12.03
241487000.0,105.96331,4.0466283333333335,12.3,1174,2019-12-20 21:10,11.87
241487000.0,106.02486666666668,4.129396666666667,12.1,1174,2019-12-20 21:40,11.69
241487000.0,106.08336827956988,4.207272473118279,,1174,2019-12-20 22:10,11.68
241487000.0,106.14944424242424,4.281838484848485,,1174,2019-12-20 22:40,11.08
241487000.0,106.21705464912282,4.352940789473685,,1174,2019-12-20 23:10,11.87
241487000.0,106.28458194444444,4.423440833333333,,1174,2019-12-20 23:40,11.79
241487000.0,106.3516919047619,4.494108690476191,,1174,2019-12-21 00:10,11.60
241487000.0,106.41655,4.562693749999999,,1174,2019-12-21 00:40,10.89
241487000.0,106.48321325396824,4.633079841269841,,1174,2019-12-21 01:10,11.21
241487000.0,106.55323877777778,4.699664,,1174,2019-12-21 01:40,11.66
241487000.0,106.62073522222221,4.768483111111111,,1174,2019-12-21 02:10,11.55
241487000.0,106.68782285714286,4.838775238095238,,1174,2019-12-21 02:40,11.78
241487000.0,106.75178713541668,4.907402031250001,,1174,2019-12-21 03:10,11.23
241487000.0,106.81788921568628,4.979308333333333,,1174,2019-12-21 03:40,11.64
241487000.0,106.88377791666665,5.050923750000001,,1174,2019-12-21 04:10,11.68
241487000.0,106.95158257575758,5.122021060606061,,1174,2019-12-21 04:40,12.66
241487000.0,107.02109613095237,5.193772440476191,,1174,2019-12-21 05:10,11.84
241487000.0,107.08840666666666,5.26229,,1174,2019-12-21 05:40,11.66
241487000.0,107.15779500000001,5.333515333333333,,1174,2019-12-21 06:10,10.68
241487000.0,107.22705200000001,5.403918999999999,,1174,2019-12-21 06:40,11.01
241487000.0,107.29677266666666,5.473792333333333,,1174,2019-12-21 07:10,11.70
241487000.0,107.36685155555554,5.543272222222223,,1174,2019-12-21 07:40,11.86
241487000.0,107.43658483870966,5.611436451612903,,1174,2019-12-21 08:10,11.65
241487000.0,107.50782444444444,5.681300555555555,,1174,2019-12-21 08:40,11.97
241487000.0,107.57929638888889,5.751019722222221,,1174,2019-12-21 09:10,11.91
241487000.0,107.648885,5.8220494444444455,,1174,2019-12-21 09:40,11.96
241487000.0,107.71517424731184,5.892352903225807,,1174,2019-12-21 10:10,11.50
241487000.0,107.78231366666667,5.964358333333334,,1174,2019-12-21 10:40,11.85
241487000.0,107.84935699999998,6.036708999999999,,1174,2019-12-21 11:10,11.80
241487000.0,107.91751619047618,6.1087051190476185,,1174,2019-12-21 11:40,11.86
241487000.0,107.98424216049382,6.180607345679012,,1174,2019-12-21 12:10,11.73
241487000.0,108.04977885964911,6.25071552631579,,1174,2019-12-21 12:40,11.59
241487000.0,108.11555655555557,6.322727555555556,,1174,2019-12-21 13:10,11.71
241487000.0,108.18539699999998,6.390017444444445,,1174,2019-12-21 13:40,11.48
241487000.0,108.25387427777777,6.455661833333333,,1174,2019-12-21 14:10,11.31
241487000.0,108.32053077777779,6.523948666666666,,1174,2019-12-21 14:40,11.49
241487000.0,108.38624155913979,6.591705537634409,,1174,2019-12-21 15:10,11.24
241487000.0,108.4509975,6.657213333333333,,1174,2019-12-21 15:40,11.81
241487000.0,108.51688572916667,6.724300520833332,,1174,2019-12-21 16:10,11.08
241487000.0,108.58342156862746,6.788865490196079,,1174,2019-12-21 16:40,11.15
241487000.0,108.64977727272726,6.856135606060607,,1174,2019-12-21 17:10,11.52
241487000.0,108.71282933333333,6.922858000000001,,1174,2019-12-21 17:40,11.09
241487000.0,108.77746649425289,6.989347701149427,,1174,2019-12-21 18:10,10.73
241487000.0,108.84170499999999,7.054982666666667,,1174,2019-12-21 18:40,11.09
241487000.0,108.90552612903225,7.11927376344086,,1174,2019-12-21 19:10,10.73
241487000.0,108.96968074074074,7.183752962962963,,1174,2019-12-21 19:40,10.97
241487000.0,109.03356250000002,7.2536125,,1174,2019-12-21 20:10,11.22
241487000.0,109.09557055555555,7.325501111111111,,1174,2019-12-21 20:40,11.63
241487000.0,109.15984303030301,7.396213636363637,,1174,2019-12-21 21:10,12.65
241487000.0,109.2299081111111,7.465237666666666,,1174,2019-12-21 21:40,11.94
241487000.0,109.30395484126984,7.5327576984126985,,1174,2019-12-21 22:10,11.49
241487000.0,109.37611619047617,7.6023877380952385,,1174,2019-12-21 22:40,11.95
241487000.0,109.44842127777778,7.673647777777778,,1174,2019-12-21 23:10,12.25
241487000.0,109.51915416666668,7.747834166666666,,1174,2019-12-21 23:40,10.80
241487000.0,109.58977625,7.821772500000001,,1174,2019-12-22 00:10,12.75
241487000.0,109.66111785714286,7.895190952380951,,1174,2019-12-22 00:40,12.94
241487000.0,109.73088416666667,7.969995833333334,,1174,2019-12-22 01:10,17.23
241487000.0,109.80252708333333,8.043745625,,1174,2019-12-22 01:40,11.91
241487000.0,109.87199,8.119601666666666,12.3,1174,2019-12-22 02:10,13.14
241487000.0,109.93866190476191,8.199909285714286,,1174,2019-12-22 02:40,14.18
241487000.0,110.00977826086957,8.27717268115942,,1174,2019-12-22 03:10,12.01
241487000.0,110.07747916666668,8.353053333333333,,1174,2019-12-22 03:40,12.19
241487000.0,110.14347446969695,8.43044053030303,,1174,2019-12-22 04:10,12.11
241487000.0,110.20965644444443,8.507299666666666,,1174,2019-12-22 04:40,11.97
241487000.0,110.27084983870967,8.584379408602151,,1174,2019-12-22 05:10,11.61
241487000.0,110.33305555555556,8.663458888888888,,1174,2019-12-22 05:40,11.80
241487000.0,110.39435647058824,8.738474117647058,,1174,2019-12-22 06:10,11.47
241487000.0,110.45595611111112,8.813829722222222,,1174,2019-12-22 06:40,11.89
241487000.0,110.52017016666669,8.889696333333333,,1174,2019-12-22 07:10,11.87
241487000.0,110.58322166666666,8.963028333333334,11.8,1174,2019-12-22 07:40,12.59
241487000.0,110.6498454901961,9.040448725490196,,1174,2019-12-22 08:10,11.32
241487000.0,110.71337333333334,9.114453333333334,11.7,1174,2019-12-22 08:40,11.75
241487000.0,110.77707088235294,9.189241960784313,,1174,2019-12-22 09:10,11.72
241487000.0,110.84291333333331,9.262875,11.6,1174,2019-12-22 09:40,11.65
241487000.0,110.90682129629631,9.333796111111113,,1174,2019-12-22 10:10,11.17
241487000.0,110.97025111111111,9.410476944444444,,1174,2019-12-22 10:40,11.63
241487000.0,111.02822333333332,9.484971666666668,11.5,1174,2019-12-22 11:10,11.76
241487000.0,111.09235147058824,9.560307549019608,,1174,2019-12-22 11:40,11.37
241487000.0,111.15493216666667,9.631319,,1174,2019-12-22 12:10,11.12
241487000.0,111.21780166666667,9.703445,11.2,1174,2019-12-22 12:40,11.03
241487000.0,111.27922433333335,9.775194333333333,,1174,2019-12-22 13:10,11.29
241487000.0,111.34186733333335,9.84846277777778,,1174,2019-12-22 13:40,11.51
241487000.0,111.40246545454546,9.918921969696969,,1174,2019-12-22 14:10,11.99
241487000.0,111.46632424242424,9.994100757575758,,1174,2019-12-22 14:40,12.42
241487000.0,111.52891555555554,10.067380555555554,,1174,2019-12-22 15:10,11.80
241487000.0,111.59448555555556,10.141746111111111,,1174,2019-12-22 15:40,11.85
241487000.0,111.65664378306879,10.216497936507936,,1174,2019-12-22 16:10,11.60
241487000.0,111.71685965608467,10.292807460317459,,1174,2019-12-22 16:40,11.60
241487000.0,111.77715080128206,10.369130064102562,,1174,2019-12-22 17:10,11.80
241487000.0,111.8396248397436,10.445831987179487,,1174,2019-12-22 17:40,11.80
241487000.0,111.9040508974359,10.522819487179488,,1174,2019-12-22 18:10,12.38
241487000.0,111.97156290780143,10.599228936170212,,1174,2019-12-22 18:40,12.17
241487000.0,112.03914482269504,10.675808723404256,,1174,2019-12-22 19:10,12.17
241487000.0,112.10909277777778,10.7531,,1174,2019-12-22 19:40,12.51
241487000.0,112.17970947916666,10.829975416666665,,1174,2019-12-22 20:10,12.18
241487000.0,112.24822066666667,10.906029285714288,,1174,2019-12-22 20:40,12.28
241487000.0,112.31468066666666,10.984743571428572,,1174,2019-12-22 21:10,12.28
241487000.0,112.38151888888889,11.065284444444444,,1174,2019-12-22 21:40,12.45
241487000.0,112.44441166666668,11.143435,12.0,1174,2019-12-22 22:10,12.02
241487000.0,112.50361833333334,11.225005,11.7,1174,2019-12-22 22:40,11.70
241487000.0,112.56878666666668,11.298528333333335,11.6,1174,2019-12-22 23:10,11.10
241487000.0,112.63467633333332,11.371386666666666,,1174,2019-12-22 23:40,11.51
241487000.0,112.70108544444444,11.444045666666666,,1174,2019-12-23 00:10,12.03
241487000.0,112.77062333333333,11.519049629629627,,1174,2019-12-23 00:40,11.45
241487000.0,112.8391038888889,11.592869333333333,,1174,2019-12-23 01:10,12.08
241487000.0,112.90690215277779,11.671428958333333,,1174,2019-12-23 01:40,12.44
241487000.0,112.97275619047618,11.748881190476192,,1174,2019-12-23 02:10,11.67
241487000.0,113.04646731884058,11.817227246376813,,1174,2019-12-23 02:40,11.97
241487000.0,113.11317277777778,11.896665555555556,,1174,2019-12-23 03:10,12.36
241487000.0,113.17585064102563,11.980322692307693,,1174,2019-12-23 03:40,12.17
241487000.0,113.24150777777778,12.06450888888889,,1174,2019-12-23 04:10,12.75
241487000.0,113.30771471264367,12.144639310344829,,1174,2019-12-23 04:40,12.18
241487000.0,113.37561633333333,12.225495666666664,,1174,2019-12-23 05:10,12.66
241487000.0,113.44587928571428,12.307972976190474,,1174,2019-12-23 05:40,12.69
241487000.0,113.51594617647059,12.39023039215686,,1174,2019-12-23 06:10,12.62
241487000.0,113.58622357142858,12.471860714285713,,1174,2019-12-23 06:40,12.28
241487000.0,113.65725833333333,12.552298333333333,,1174,2019-12-23 07:10,13.00
241487000.0,113.72927944444446,12.634439444444444,,1174,2019-12-23 07:40,12.97
241487000.0,113.80113944444444,12.716838333333335,,1174,2019-12-23 08:10,13.07
241487000.0,113.87256274193548,12.797441129032258,,1174,2019-12-23 08:40,12.66
241487000.0,113.94436477777778,12.87824211111111,,1174,2019-12-23 09:10,12.89
241487000.0,114.01573055555555,12.960265166666666,,1174,2019-12-23 09:40,12.93
241487000.0,114.0869987777778,13.042949111111112,,1174,2019-12-23 10:10,12.94
241487000.0,114.15924661111112,13.128314333333332,,1174,2019-12-23 10:40,13.49
241487000.0,114.23284433333333,13.216367333333334,,1174,2019-12-23 11:10,14.54
241487000.0,114.30998366666667,13.308512999999998,,1174,2019-12-23 11:40,14.09
241487000.0,114.383051,13.394352333333332,,1174,2019-12-23 12:10,12.95
241487000.0,114.45439433333333,13.476464666666667,,1174,2019-12-23 12:40,12.88
241487000.0,114.52660666666667,13.558323333333332,,1174,2019-12-23 13:10,13.57
241487000.0,114.598066,13.637434333333333,,1174,2019-12-23 13:40,13.37
241487000.0,114.67294666666666,13.719485,12.9,1174,2019-12-23 14:10,12.99
241487000.0,114.74474231182796,13.801675537634408,,1174,2019-12-23 14:40,12.91
241487000.0,114.81626666666666,13.887548333333335,,1174,2019-12-23 15:10,13.18
241487000.0,114.88651151515151,13.972080454545456,,1174,2019-12-23 15:40,13.03
241487000.0,114.95792399999999,14.054944666666668,,1174,2019-12-23 16:10,12.87
241487000.0,115.02883311594202,14.137744782608696,,1174,2019-12-23 16:40,13.01
241487000.0,115.09809888888888,14.21817222222222,,1174,2019-12-23 17:10,15.27
241487000.0,115.17235799999999,14.303023333333336,,1174,2019-12-23 17:40,13.56
241487000.0,115.24576125,14.38462375,,1174,2019-12-23 18:10,10.62
241487000.0,115.31441439393939,14.463771893939393,,1174,2019-12-23 18:40,12.61
241487000.0,115.38551666666666,14.543575,12.5,1174,2019-12-23 19:10,12.78
241487000.0,115.45808833333334,14.624265833333334,,1174,2019-12-23 19:40,12.91
241487000.0,115.53008166666666,14.705508333333333,12.7,1174,2019-12-23 20:10,12.76
241487000.0,115.60124083333334,14.787299166666665,,1174,2019-12-23 20:40,12.91
241487000.0,115.67366833333334,14.866591666666665,12.3,1174,2019-12-23 21:10,11.58
241487000.0,115.74085966666668,14.942624666666665,,1174,2019-12-23 21:40,12.11
241487000.0,115.80744444444446,15.022264166666666,,1174,2019-12-23 22:10,11.58
241487000.0,115.87874888888891,15.1000487654321,,1174,2019-12-23 22:40,12.07
241487000.0,115.95361088888889,15.17193733333333,,1174,2019-12-23 23:10,12.44
241487000.0,116.03220077777779,15.239298333333334,,1174,2019-12-23 23:40,12.18
241487000.0,116.10008611111111,15.318481222222221,,1174,2019-12-24 00:10,12.52
