mmsi,lon,lat,speed,traj_label,time2
209783000.0,119.057415,14.453463333333335,12.6,123,2019-12-10 15:44
209783000.0,119.06957833333334,14.505406666666667,12.6,123,2019-12-10 15:59
209783000.0,119.078455,14.546161666666665,12.6,123,2019-12-10 16:11
209783000.0,119.104505,14.648748333333335,12.4,123,2019-12-10 16:41
209783000.0,119.11395833333331,14.68834,12.3,123,2019-12-10 16:53
209783000.0,119.12866,14.751628333333333,12.4,123,2019-12-10 17:11
209783000.0,119.15223833333332,14.853565,12.4,123,2019-12-10 17:41
209783000.0,119.16555833333334,14.904725,12.4,123,2019-12-10 17:57
209783000.0,119.17986,14.956158333333333,12.2,123,2019-12-10 18:12
209783000.0,119.20146666666666,15.040511666666667,12.2,123,2019-12-10 18:38
209783000.0,119.204795,15.054903333333336,12.2,123,2019-12-10 18:42
209783000.0,119.21913666666669,15.115205,12.1,123,2019-12-10 19:00
209783000.0,119.22954,15.159936666666669,11.9,123,2019-12-10 19:14
209783000.0,119.24913333333332,15.240833333333333,11.8,123,2019-12-10 19:41
209783000.0,119.26362666666668,15.2988,11.7,123,2019-12-10 19:57
209783000.0,119.26635,15.30938,11.6,123,2019-12-10 20:01
209783000.0,119.27695333333334,15.351946666666668,11.6,123,2019-12-10 20:14
209783000.0,119.28246666666666,15.373838333333332,11.5,123,2019-12-10 20:21
209783000.0,119.290525,15.405388333333333,11.6,123,2019-12-10 20:32
209783000.0,119.30464333333332,15.460763333333333,11.6,123,2019-12-10 20:52
209783000.0,119.31344833333333,15.49424,11.7,123,2019-12-10 21:03
209783000.0,119.34134333333331,15.600611666666667,11.7,123,2019-12-10 21:34
209783000.0,119.34934166666666,15.630755,11.7,123,2019-12-10 21:44
209783000.0,119.361145,15.68605,11.8,123,2019-12-10 22:00
209783000.0,119.37208166666667,15.73772,11.8,123,2019-12-10 22:16
209783000.0,119.40378666666666,15.883508333333332,11.9,123,2019-12-10 23:01
209783000.0,119.41672666666666,15.935806666666664,11.9,123,2019-12-10 23:17
209783000.0,119.43368,16.003510000000002,11.9,123,2019-12-10 23:39
209783000.0,119.44132,16.033151666666665,11.9,123,2019-12-10 23:47
209783000.0,119.44610333333334,16.051915,11.9,123,2019-12-10 23:54
209783000.0,119.45381666666668,16.082063333333334,11.9,123,2019-12-11 00:02
209783000.0,119.46418333333334,16.122356666666665,12.1,123,2019-12-11 00:14
209783000.0,119.470665,16.146941666666667,12.2,123,2019-12-11 00:22
209783000.0,119.48480666666669,16.200264999999998,12.3,123,2019-12-11 00:39
209783000.0,119.49307166666668,16.231386666666666,12.3,123,2019-12-11 00:48
209783000.0,119.49814833333332,16.250429999999998,12.4,123,2019-12-11 00:54
209783000.0,119.50540333333332,16.28286,12.5,123,2019-12-11 01:03
209783000.0,119.51203333333332,16.313168333333333,12.7,123,2019-12-11 01:12
209783000.0,119.54449166666669,16.45859,12.6,123,2019-12-11 01:54
209783000.0,119.55367833333334,16.491335,12.6,123,2019-12-11 02:03
209783000.0,119.56026333333334,16.514495,12.6,123,2019-12-11 02:10
209783000.0,119.58006666666668,16.59665,12.6,123,2019-12-11 02:34
209783000.0,119.58395166666666,16.613233333333334,12.6,123,2019-12-11 02:40
209783000.0,119.59675333333334,16.668023333333334,12.3,123,2019-12-11 02:55
209783000.0,119.614295,16.747893333333334,12.5,123,2019-12-11 03:19
209783000.0,119.62349666666668,16.785398333333333,12.5,123,2019-12-11 03:30
209783000.0,119.63274166666666,16.822876666666666,12.6,123,2019-12-11 03:41
209783000.0,119.650425,16.893263333333334,12.4,123,2019-12-11 04:01
209783000.0,119.66231833333332,16.944028333333332,12.4,123,2019-12-11 04:16
209783000.0,119.67349666666668,16.992048333333333,12.4,123,2019-12-11 04:30
209783000.0,119.68075833333332,17.023653333333332,12.4,123,2019-12-11 04:41
209783000.0,119.69798166666666,17.097985,12.2,123,2019-12-11 05:02
209783000.0,119.70931333333333,17.144246666666668,11.8,123,2019-12-11 05:16
209783000.0,119.72159166666668,17.194286666666667,11.7,123,2019-12-11 05:32
209783000.0,119.73525833333332,17.251316666666668,11.7,123,2019-12-11 05:50
209783000.0,119.74620833333331,17.296788333333332,11.6,123,2019-12-11 06:04
209783000.0,119.75503333333332,17.329781666666666,11.4,123,2019-12-11 06:14
209783000.0,119.75952333333332,17.346738333333334,11.4,123,2019-12-11 06:20
209783000.0,119.769225,17.383726666666668,11.3,123,2019-12-11 06:32
209783000.0,119.78312666666666,17.439846666666668,11.6,123,2019-12-11 06:50
209783000.0,119.79415,17.48821166666667,11.5,123,2019-12-11 07:05
209783000.0,119.80494166666666,17.53577,11.4,123,2019-12-11 07:20
209783000.0,119.82800333333331,17.628853333333332,11.1,123,2019-12-11 07:51
209783000.0,119.83849166666668,17.674476666666667,11.1,123,2019-12-11 08:06
209783000.0,119.85865333333334,17.76738,11.0,123,2019-12-11 08:36
209783000.0,119.86854333333332,17.811555,11.0,123,2019-12-11 08:51
209783000.0,119.88305333333334,17.875571666666666,11.3,123,2019-12-11 09:12
209783000.0,119.90013666666668,17.94705,11.3,123,2019-12-11 09:35
209783000.0,119.92713333333332,18.04610333333333,11.0,123,2019-12-11 10:08
209783000.0,119.934875,18.07378333333333,11.0,123,2019-12-11 10:17
209783000.0,119.950195,18.13271333333333,11.0,123,2019-12-11 10:37
209783000.0,119.95879333333332,18.168381666666665,11.0,123,2019-12-11 10:49
209783000.0,119.960975,18.177335,11.0,123,2019-12-11 10:52
209783000.0,119.9705,18.218035,11.1,123,2019-12-11 11:06
209783000.0,119.98039833333333,18.258661666666665,11.2,123,2019-12-11 11:19
209783000.0,119.984925,18.276601666666668,11.4,123,2019-12-11 11:25
209783000.0,119.99246666666669,18.305395,11.4,123,2019-12-11 11:34
209783000.0,119.99789666666666,18.32561,11.5,123,2019-12-11 11:40
